team,players,batting_style,Bowling_style
Afghanistan,"Darwish Rasooli","Right hand Bat","right arm spin"
Afghanistan,"Ibrahim Zadran","Right hand Bat","right arm fast"
Afghanistan,"Sediqullah Atal","Left hand Bat",NULL
Afghanistan,"Gulbadin Naib","Right hand Bat","Right arm fast"
Afghanistan,"Mohammad Nabi","Right hand Bat","Right arm spin"
Afghanistan,"Karim Janat","Right hand Bat","Right arm fast"
Afghanistan,"Azmatullah Omarzai","Right hand Bat","Right arm fast"
Afghanistan,"Sharafuddin Ashraf","Right hand Bat","Left arm spin"
Afghanistan,"Rashid Khan","Right hand Bat","right arm spin"
Afghanistan,"Rahmanullah Gurbaz","Right hand Bat",NULL
Afghanistan,"Mohammad Ishaq","Left hand Bat",NULL
Afghanistan,"Noor Ahmad","Right hand Bat","Left arm spin"
Afghanistan,"Allah Mohammad Ghazanfar","Right hand Bat","right arm spin"
Afghanistan,"Mujeeb ur Rahman","Right hand Bat","right arm spin"
Afghanistan,"Fazal Ahmad Malik","left hand Bat","left arm fast"
Afghanistan,"Fazalhaq Farooqi","Right hand Bat","Left arm Fast"
Afghanistan,"Naveen ul Haq","Right hand Bat","Right arm fast"
Bangladesh,"Saif Hassan","Right hand Bat",NULL
Bangladesh,"Towhid Hridoy","Right hand Bat","right arm spin"
Bangladesh,"Tanzid Hasan Tamim","Left hand Bat",NULL
Bangladesh,"Shamim Hossain","Left hand Bat","Right arm spin"
Bangladesh,"Mahedi Hasan","Right hand Bat","Right arm spin"
Bangladesh,"Mohammad Saifuddin","left hand Bat","Right arm fast"
Bangladesh,"Litton Das","Right hand Bat",NULL
Bangladesh,"Parvez Hossain Emon","Left hand Bat",NULL
Bangladesh,"Jaker Ali","Right hand Bat",NULL
Bangladesh,"Narul Hasan","Right hand Bat",NULL
Bangladesh,"Nasum Ahmed","Left hand Bat","Left arm spin"
Bangladesh,"Rishad Hossain","Right hand Bat","right arm spin"
Bangladesh,"Mustafizur Rahman","Left hand Bat","Left arm Fast"
Bangladesh,"Tanzim Hasan Sakib","Right hand Bat","Right arm Fast"
Bangladesh,"Taskin Ahmed","left hand Bat","Right arm Fast"
Bangladesh,"Shoriful Islam","Left hand Bat","Left arm Fast"
"Hong Kong","Babar Hayat","Right hand Bat","Right arm Fast"
"Hong Kong","Martin Coetzee","Right hand Bat",NULL
"Hong Kong","Kalhan Challu","Right hand Bat","Right arm spin"
"Hong Kong","Kinchit Shah","left hand Bat","Right arm spin"
"Hong Kong","Nasrulla Rana","Right hand Bat","Right arm Fast"
"Hong Kong","Yasim Murtaza","left hand Bat","left arm spin"
"Hong Kong","Nizakat Khan","Right hand Bat","Right arm spin"
"Hong Kong","Aizaz Khan","Right hand Bat","Right arm Fast"
"Hong Kong","Anshuman Rath","left hand Bat",NULL
"Hong Kong","Zeeshan Ali","Right hand Bat",NULL
"Hong Kong","Shahid Wasif","Right hand Bat","Right arm spin"
"Hong Kong","Ayush Shukla","Right hand Bat","Right arm fast"
"Hong Kong","Mohammad Waheed","Right hand Bat","left arm fast"
"Hong Kong","Ateeq Iqbal","Right hand Bat","Right arm fast"
"Hong Kong","Ehsan Khan","Right hand Bat","Right arm spin"
"Hong Kong","Ali Hassan","Right hand Bat","Right arm spin"
"Hong Kong","Mohammad Ghazanfar","Right hand Bat","Right arm spin"
India,"Suryakumar Yadav","Right hand Bat","right arm Spin"
India,"Shubman Gill","Right hand Bat","right arm Spin"
India,"Sanju Samson","Right hand Bat",NULL
India,"Jitesh Sharma","Right hand Bat",NULL
India,"Rinku Singh","Left hand Bat","right arm Spin"
India,"Abhishek Sharma","Left hand Bat","left arm Spin"
India,"Shivam Dube","Left hand Bat","right arm Fast"
India,"Hardik Pandya","Right hand Bat","right arm fast"
India,"Axar Patel","Left hand Bat","left arm Spin"
India,"Tilak Varma","Left hand Bat","right arm Spin"
India,"Arshdeep Singh","Left hand Bat","left arm fast"
India,"Jasprit Bumrah","Right hand Bat","right arm Fast"
India,"Harshit Rana","Right hand Bat","right arm Fast"
India,"Kuldeep Yadav","Left hand Bat","left arm spin"
India,"Varun Chakravarthy","Right hand Bat","right arm Spin"
Oman,"Jatinder Singh","Right hand Bat","Right arm spin"
Oman,"Aamir Kaleem","Left hand Bat","Left arm spin"
Oman,"Hammad Mirza","Right hand Bat",NULL
Oman,"Vinayak Shukla","Right hand Bat",NULL
Oman,"Sufyan Yousaf","Right hand Bat",NULL
Oman,"Ashish Odedara","Right hand Bat","Left arm spin"
Oman,"Nadeem Khan","Left hand Bat","left arm spin"
Oman,"Shah Faisal","Left hand Bat","left arm Fast"
Oman,"Hassnain Shah","Right hand Bat","Right arm fast"
Oman,"Mohammad Nadeem","Right hand Bat","Right arm fast"
Oman,"Zikria Islam","Right hand Bat","Left arm fast"
Oman,"Sufyan Mehmood","Left hand Bat","Right arm fast"
Oman,"Shakeel Ahmed","Left hand Bat","Left arm spin"
Oman,"Samay Shrivastava","Right hand Bat","Right arm spin"
Oman,"Karan Sonavale","Right hand Bat","Right arm spin"
Oman,"Aryan Bisht","Right hand Bat","Right arm spin"
Oman,"Muhammed Imran","Right hand Bat","Right arm Fast"
Oman,"Wasim Ali","Left hand Bat","Left arm spin"
Oman,"Jiten Ramanandi","Left hand Bat","Left arm fast"
Pakistan,"Fakhar Zaman","Left hand Bat","left arm spin"
Pakistan,"Hasan Nawaz","Right hand Bat","right arm spin"
Pakistan,"Mohammad Haris","Right hand Bat",NULL
Pakistan,"Sahibzada Farhan","Right hand Bat",NULL
Pakistan,"Saim Ayub","Left hand Bat","right arm spin"
Pakistan,"Salman Agha","Right hand Bat","Right arm spin"
Pakistan,"Faheem Ashraf","Left hand Bat","Right arm fast"
Pakistan,"Hussain Talat","Left hand Bat","Right arm fast"
Pakistan,"Khushdil Shah","Left hand Bat","Left arm spin"
Pakistan,"Mohammad Nawaz","Left hand Bat","Left arm spin"
Pakistan,"Abrar Ahmed","Right hand Bat","Right arm spin"
Pakistan,"Haris Rauf","Right hand Bat","Right arm Fast"
Pakistan,"Hasan Ali","Right hand Bat","Right arm fast"
Pakistan,"Mohammad Wasim jr","Right hand Bat","Right arm Fast"
Pakistan,"Salman Mirza","Right hand Bat","Left arm Fast"
Pakistan,"Shaheen Shah Afridi","Left hand Bat","Left arm Fast"
Pakistan,"Sufiyan Muqeem","Left hand Bat","Left arm spin"
"Sri Lanka","Pathum Nissanka","Right hand Bat",NULL
"Sri Lanka","Nuwanidu Fernando","Right hand Bat","Right arm spin"
"Sri Lanka","Charith Asalanka","Left hand Bat","Right arm spin"
"Sri Lanka","Kamindu Mendis","Left hand Bat","Right arm spin"
"Sri Lanka","Dasun Shanaka","Right hand Bat","Right arm fast"
"Sri Lanka","Janith Liyanage","Right hand Bat","Right arm fast"
"Sri Lanka","Wanindu Hasaranga","Right hand Bat","Right arm spin"
"Sri Lanka","Dunith Wellalage","Left hand Bat","Left arm spin"
"Sri Lanka","Chamika Karunaratne","Right hand Bat","Right arm fast"
"Sri Lanka","Kusal Mendis","Right hand Bat",NULL
"Sri Lanka","Kusal Perera","Left hand Bat",NULL
"Sri Lanka","Kamil Mishara","Left hand Bat","Right arm spin"
"Sri Lanka","Dushmantha Chameera","Right hand Bat","Right arm Fast"
"Sri Lanka","Binura Fernando","right hand Bat","Left arm fast"
"Sri Lanka","Maheesh Theekshana","Right hand Bat","Right arm spin"
"Sri Lanka","Nuwan Thushara","Right hand Bat","Right arm fast"
"Sri Lanka","Matheesha Pathirana","Right hand Bat","Right arm Fast"
"United Arab Emirates","Muhammad Waseem","Right hand Bat","Right arm fast"
"United Arab Emirates","Asif Khan","Right hand Bat","Right arm spin"
"United Arab Emirates","Ethan DSouza","left hand Bat","Right arm spin"
"United Arab Emirates","Muhammad Zohaib","left hand Bat","left arm spin"
"United Arab Emirates","Saghir Khan","right hand Bat","right arm fast"
"United Arab Emirates","Alishan Sharafu","right hand Bat","right arm fast"
"United Arab Emirates","Dhruv Parashar","right hand Bat","right arm spin"
"United Arab Emirates","Harshit Kaushik","left hand Bat","left arm spin"
"United Arab Emirates","Aryansh Sharma","right hand Bat",NULL
"United Arab Emirates","Rahul Chopra","right hand Bat",NULL
"United Arab Emirates","Haider Ali","left hand Bat","left arm spin"
"United Arab Emirates","Simranjeet Singh","left hand Bat","left arm spin"
"United Arab Emirates","Junaid Siddique","right hand Bat","right arm fast"
"United Arab Emirates","Matiullah Khan","right hand Bat","right arm fast"
"United Arab Emirates","Muhammad Farooq","right hand Bat","right arm spin"
"United Arab Emirates","Muhammad Jawadullah","left hand Bat","left arm fast"
"United Arab Emirates","Muhammad Rohid Khan","right hand Bat","left arm fast"
